# 1 x                          2 y                    3 number IS              4 number viruses               5 viral fitness            6 number IS update
         1920.00000        -1990.00000               4027                  0            0.00000                 -4
         2011.00000        -1998.00000              25144                  0            0.00000                -16
         2003.00000        -2005.00000              50049                  0            0.00000                -26
         1617.00000        -1906.00000               2367                  0            0.00000                 -2
         1773.00000        -1946.00000               2658                  0            0.00000                 -2
         2025.00000        -2002.00000              14867                  0            0.00000                 -4
         1482.00000        -1881.00000                133                  0            0.00000                 -1
         2067.00000        -2003.00000               4162                  0            0.00000                 -1
         1804.00000        -1963.00000               1971                  0            0.00000                 -4
         1970.00000        -2001.00000              18899                  0            0.00000                -13
         2113.00000        -1980.00000             103357                  0            0.00000                -43
         1970.00000        -1995.00000               4802                  0            0.00000                 -2
         2073.00000        -1987.00000              13854                  0            0.00000                -13
         1913.00000        -1984.00000               7745                  0            0.00000                 -4
         1800.00000        -1954.00000               3634                  0            0.00000                 -1
         1935.00000        -2002.00000               1512                  0            0.00000                 -1
         1984.00000        -1992.00000               2209                  0            0.00000                 -1
         1920.00000        -1988.00000               6705                  0            0.00000                 -5
         2029.00000        -1992.00000                690                  0            0.00000                 -1
         2059.00000        -1991.00000               5436                  0            0.00000                 -2
         1837.00000        -1965.00000               2187                  0            0.00000                 -2
         1776.00000        -1946.00000               3907                  0            0.00000                 -3
         1975.00000        -2009.00000              14525                  0            0.00000                 -5
         1891.00000        -1971.00000               2056                  0            0.00000                 -1
         1871.00000        -1970.00000               3874                  0            0.00000                 -2
         2025.00000        -2004.00000               5613                  0            0.00000                 -2
         1518.00000        -1891.00000                109                  0            0.00000                 -1
         2078.00000        -1988.00000             189143                  0            0.00000                -76
         1859.00000        -1980.00000               1303                  0            0.00000                 -1
         2085.00000        -2000.00000              61422                  0            0.00000                -32
         1813.00000        -1966.00000               4815                  0            0.00000                 -1
         2105.00000        -1981.00000              62672                  0            0.00000                -32
         2044.00000        -2007.00000              14056                  0            0.00000                 -6
         1985.00000        -1999.00000              23891                  0            0.00000                -12
         1800.00000        -1952.00000               1608                  0            0.00000                 -1
         1799.00000        -1961.00000               1935                  0            0.00000                 -1
         2035.00000        -2001.00000              48085                  0            0.00000                -30
         2078.00000        -1975.00000               4346                  0            0.00000                 -2
         1928.00000        -1990.00000              16657                  0            0.00000                -10
         1958.00000        -1991.00000               8974                  0            0.00000                -10
         1775.00000        -1948.00000               3240                  0            0.00000                 -2
         1732.00000        -1952.00000                653                  0            0.00000                 -1
         2018.00000        -2002.00000              50359                  0            0.00000                -25
         1700.00000        -1947.00000                706                  0            0.00000                 -2
         1681.00000        -1942.00000                642                  0            0.00000                 -1
         1808.00000        -1968.00000               6630                  0            0.00000                 -2
         1828.00000        -1961.00000               9092                  0            0.00000                 -9
         2050.00000        -2009.00000               4627                  0            0.00000                 -1
         1945.00000        -1989.00000              24212                  0            0.00000                -17
         1863.00000        -1976.00000               3541                  0            0.00000                 -2
         1734.00000        -1955.00000               3741                  0            0.00000                 -1
         1736.00000        -1945.00000               1809                  0            0.00000                 -1
         2051.00000        -2010.00000                883                  0            0.00000                 -2
         1958.00000        -1996.00000               4177                  0            0.00000                 -1
         1783.00000        -1958.00000               3751                  0            0.00000                 -4
         2108.00000        -1988.00000                972                  0            0.00000                 -1
         2002.00000        -2009.00000              15812                  0            0.00000                 -6
         1851.00000        -1972.00000              13335                  0            0.00000                 -7
         1752.00000        -1945.00000               2970                  0            0.00000                 -4
         1999.00000        -2014.00000               2900                  0            0.00000                 -1
         1898.00000        -1977.00000               6839                  0            0.00000                 -2
         2109.00000        -1984.00000              11084                  0            0.00000                 -4
         2081.00000        -1993.00000              57577                  0            0.00000                -33
         2111.00000        -1977.00000              27466                  0            0.00000                -16
         2083.00000        -1989.00000              66383                  0            0.00000                -31
         1831.00000        -1966.00000               7366                  0            0.00000                 -2
         2002.00000        -2007.00000              63765                  0            0.00000                -36
         2060.00000        -1991.00000              11917                  0            0.00000                 -6
         2099.00000        -1997.00000                850                  0            0.00000                 -1
         1745.00000        -1957.00000                814                  0            0.00000                 -1
         1921.00000        -1997.00000               3249                  0            0.00000                 -2
         1842.00000        -1965.00000               8963                  0            0.00000                 -9
         1726.00000        -1939.00000                701                  0            0.00000                 -1
         2022.00000        -2000.00000              23678                  0            0.00000                -14
         1975.00000        -2005.00000              15581                  0            0.00000                 -8
         1433.00000        -1883.00000                203                  0            0.00000                 -1
         2069.00000        -1987.00000              36943                  0            0.00000                -27
         1960.00000        -1995.00000              10571                  0            0.00000                 -6
         2084.00000        -1995.00000               1983                  0            0.00000                 -1
         1990.00000        -2008.00000               2105                  0            0.00000                 -1
         1880.00000        -1991.00000                155                  0            0.00000                 -1
         1753.00000        -1952.00000               2147                  0            0.00000                 -1
         1743.00000        -1947.00000                682                  0            0.00000                 -2
         2101.00000        -2001.00000                699                  0            0.00000                 -1
         1838.00000        -1964.00000               2734                  0            0.00000                 -2
         1630.00000        -1917.00000                494                  0            0.00000                 -1
         2071.00000        -1991.00000               9822                  0            0.00000                 -5
         1785.00000        -1958.00000               3964                  0            0.00000                 -1
         1949.00000        -1985.00000               1600                  0            0.00000                 -1
         1844.00000        -1969.00000               7796                  0            0.00000                 -4
         2052.00000        -2002.00000             127218                  0            0.00000                -71
         1879.00000        -1972.00000               1063                  0            0.00000                 -1
         1892.00000        -1976.00000              22964                  0            0.00000                 -5
         1993.00000        -1991.00000                484                  0            0.00000                 -1
         2116.00000        -1976.00000              10342                  0            0.00000                 -7
         2049.00000        -2001.00000              53953                  0            0.00000                -31
         2041.00000        -1993.00000               7944                  0            0.00000                 -7
         1965.00000        -1989.00000               2668                  0            0.00000                 -2
         1603.00000        -1919.00000                 14                  0            0.00000                 -1
         2117.00000        -1975.00000               6800                  0            0.00000                 -3
         1828.00000        -1963.00000              14840                  0            0.00000                -11
         2093.00000        -1984.00000             106302                  0            0.00000                -46
         1876.00000        -1984.00000               8248                  0            0.00000                 -2
         1744.00000        -1948.00000                707                  0            0.00000                 -1
         1844.00000        -1962.00000                963                  0            0.00000                 -1
         1895.00000        -1991.00000                452                  0            0.00000                 -1
         1670.00000        -1928.00000                641                  0            0.00000                 -2
         2077.00000        -1990.00000              41557                  0            0.00000                -28
         1943.00000        -1988.00000               9883                  0            0.00000                 -7
         2109.00000        -1982.00000              22630                  0            0.00000                -11
         2057.00000        -1996.00000               6608                  0            0.00000                 -5
         1563.00000        -1907.00000                537                  0            0.00000                 -1
         2028.00000        -1998.00000              27860                  0            0.00000                -12
         1997.00000        -2005.00000               8750                  0            0.00000                 -1
         1727.00000        -1932.00000                866                  0            0.00000                 -1
         1742.00000        -1938.00000                402                  0            0.00000                 -1
         1889.00000        -1975.00000               2746                  0            0.00000                 -1
         1818.00000        -1962.00000               7393                  0            0.00000                 -4
         2014.00000        -1999.00000              23253                  0            0.00000                 -9
         2053.00000        -2007.00000               7692                  0            0.00000                 -3
         2088.00000        -1993.00000               5833                  0            0.00000                 -3
         1884.00000        -1986.00000               1612                  0            0.00000                 -1
         1961.00000        -1992.00000              23818                  0            0.00000                -13
         2047.00000        -2014.00000                283                  0            0.00000                 -1
         1810.00000        -1969.00000               2129                  0            0.00000                 -1
         2047.00000        -1996.00000              40286                  0            0.00000                -18
         2006.00000        -1992.00000               2608                  0            0.00000                 -1
         1749.00000        -1949.00000               2477                  0            0.00000                 -3
         2115.00000        -1989.00000               1627                  0            0.00000                 -1
         2040.00000        -1999.00000              11632                  0            0.00000                 -8
         1957.00000        -1989.00000              11667                  0            0.00000                 -3
         2000.00000        -2016.00000                429                  0            0.00000                 -1
         1855.00000        -1972.00000               7103                  0            0.00000                 -1
         2056.00000        -2003.00000               5510                  0            0.00000                 -6
         2003.00000        -2011.00000               3554                  0            0.00000                 -1
         1878.00000        -1989.00000                562                  0            0.00000                 -2
         2053.00000        -1996.00000              19918                  0            0.00000                 -6
         2115.00000        -1975.00000              19976                  0            0.00000                 -9
         1991.00000        -1993.00000               1911                  0            0.00000                 -1
         1792.00000        -1959.00000               1906                  0            0.00000                 -2
         2105.00000        -1979.00000            1037838                  0            0.00000               -494
         2056.00000        -2004.00000              12112                  0            0.00000                 -5
         1990.00000        -1999.00000              33030                  0            0.00000                -11
         1816.00000        -1965.00000               3773                  0            0.00000                 -1
         2032.00000        -1991.00000               9403                  0            0.00000                 -3
         1991.00000        -2012.00000                324                  0            0.00000                 -1
         1856.00000        -1974.00000              10772                  0            0.00000                 -7
         2088.00000        -1987.00000              49186                  0            0.00000                -18
         2025.00000        -1999.00000              25560                  0            0.00000                -12
         1688.00000        -1931.00000               2312                  0            0.00000                 -1
         1951.00000        -1997.00000               2836                  0            0.00000                 -2
         2056.00000        -1998.00000               8371                  0            0.00000                 -3
         1810.00000        -1961.00000               2383                  0            0.00000                 -3
         1839.00000        -1958.00000               2953                  0            0.00000                 -4
         1657.00000        -1925.00000                198                  0            0.00000                 -1
         1772.00000        -1950.00000               2411                  0            0.00000                 -1
         2051.00000        -1993.00000              57554                  0            0.00000                -29
         2008.00000        -2007.00000               9934                  0            0.00000                 -3
         1967.00000        -1991.00000               4136                  0            0.00000                 -1
         2004.00000        -2009.00000              10684                  0            0.00000                 -4
         1843.00000        -1964.00000               1551                  0            0.00000                 -1
         1845.00000        -1974.00000               3233                  0            0.00000                 -2
         2039.00000        -1995.00000              21907                  0            0.00000                -17
         1671.00000        -1930.00000                993                  0            0.00000                 -1
         1964.00000        -1994.00000               9796                  0            0.00000                 -4
         1649.00000        -1920.00000               2221                  0            0.00000                 -3
         1700.00000        -1942.00000                934                  0            0.00000                 -1
         1799.00000        -1963.00000               1173                  0            0.00000                 -1
         2088.00000        -2000.00000               1399                  0            0.00000                 -1
         1874.00000        -1990.00000                244                  0            0.00000                 -2
         1797.00000        -1958.00000               2698                  0            0.00000                 -1
         1741.00000        -1947.00000                661                  0            0.00000                 -1
         2069.00000        -1994.00000               5609                  0            0.00000                 -2
         1591.00000        -1910.00000                 76                  0            0.00000                 -1
         1873.00000        -1985.00000               2572                  0            0.00000                 -1
         1701.00000        -1942.00000                743                  0            0.00000                 -1
         1318.00000        -1811.00000                  5                  0            0.00000                 -1
         2021.00000        -1997.00000              43059                  0            0.00000                -16
         2034.00000        -1986.00000               1439                  0            0.00000                 -1
         1877.00000        -1981.00000               4384                  0            0.00000                 -4
         1894.00000        -1977.00000              10595                  0            0.00000                 -7
         1777.00000        -1951.00000               2365                  0            0.00000                 -2
         1803.00000        -1957.00000               3421                  0            0.00000                 -3
         2023.00000        -1995.00000               4856                  0            0.00000                 -2
         2062.00000        -1994.00000              29620                  0            0.00000                -18
         1903.00000        -1991.00000                218                  0            0.00000                 -1
         1575.00000        -1908.00000                294                  0            0.00000                 -1
         2011.00000        -2008.00000              14155                  0            0.00000                 -7
         2078.00000        -1985.00000              47594                  0            0.00000                -21
         2022.00000        -1992.00000                409                  0            0.00000                 -1
         1923.00000        -1980.00000               1437                  0            0.00000                 -2
         1984.00000        -1998.00000              12809                  0            0.00000                 -4
         2027.00000        -1996.00000               5563                  0            0.00000                 -1
         1786.00000        -1963.00000                229                  0            0.00000                 -1
         2060.00000        -1995.00000              65834                  0            0.00000                -35
         1950.00000        -1990.00000               9343                  0            0.00000                 -2
         2047.00000        -2002.00000              32388                  0            0.00000                -15
         1671.00000        -1936.00000                321                  0            0.00000                 -1
         1908.00000        -1985.00000              20280                  0            0.00000                -15
         1849.00000        -1972.00000               2681                  0            0.00000                 -4
         1960.00000        -1991.00000               9343                  0            0.00000                 -4
         2114.00000        -1977.00000              21623                  0            0.00000                -10
         1731.00000        -1921.00000                267                  0            0.00000                 -1
         2020.00000        -1998.00000              25790                  0            0.00000                 -9
         1837.00000        -1973.00000               1416                  0            0.00000                 -1
         2025.00000        -2008.00000               2324                  0            0.00000                 -2
         1984.00000        -2002.00000               6070                  0            0.00000                 -2
         1884.00000        -1991.00000                478                  0            0.00000                 -1
         1988.00000        -2002.00000              15500                  0            0.00000                 -6
         1871.00000        -1973.00000               3163                  0            0.00000                 -2
         2036.00000        -2005.00000               7836                  0            0.00000                 -4
         1966.00000        -2002.00000               7171                  0            0.00000                 -4
         2084.00000        -1998.00000               2041                  0            0.00000                 -1
         2068.00000        -1986.00000              50917                  0            0.00000                -27
         2053.00000        -2006.00000              10417                  0            0.00000                 -4
         1689.00000        -1930.00000                720                  0            0.00000                 -1
         1982.00000        -1999.00000               8794                  0            0.00000                 -6
         2068.00000        -1997.00000              26479                  0            0.00000                -11
         1963.00000        -2002.00000               4407                  0            0.00000                 -2
         1875.00000        -1980.00000              11246                  0            0.00000                 -7
         1845.00000        -1968.00000               3444                  0            0.00000                 -4
         1579.00000        -1911.00000               1393                  0            0.00000                 -1
         2039.00000        -1997.00000              21356                  0            0.00000                -16
         2031.00000        -1992.00000               7652                  0            0.00000                 -1
         1882.00000        -1990.00000               4245                  0            0.00000                 -5
         2085.00000        -1995.00000              10309                  0            0.00000                 -4
         1961.00000        -1995.00000              17812                  0            0.00000                -12
         1883.00000        -1973.00000               2866                  0            0.00000                 -1
         2106.00000        -1987.00000               5132                  0            0.00000                 -3
         1717.00000        -1934.00000                688                  0            0.00000                 -1
         2101.00000        -1979.00000              17702                  0            0.00000                -12
         1928.00000        -1982.00000               7311                  0            0.00000                 -2
         2041.00000        -2009.00000                338                  0            0.00000                 -1
         1970.00000        -1994.00000              12198                  0            0.00000                 -8
