# 1 x                          2 y                    3 number IS              4 number viruses               5 viral fitness
         2123.00000        -1989.00000                615                  1           -0.00299
         2127.00000        -1974.00000                191                 11            0.04251
         2124.00000        -1989.00000                901                  4            0.00588
         2132.00000        -1986.00000                113                  9            0.07450
         2117.00000        -1976.00000              21028                 17           -0.04949
         2122.00000        -1984.00000              18175                187           -0.01527
         2119.00000        -1971.00000               1063                 18           -0.01654
         2129.00000        -1987.00000                404                 54            0.04859
         2118.00000        -1973.00000              10018                 15           -0.03168
         2124.00000        -1980.00000             111139               1502            0.00514
         2119.00000        -1977.00000              39681                 26           -0.03470
         2121.00000        -1978.00000              19819                164           -0.01901
         2126.00000        -1974.00000                418                 18            0.03389
         2120.00000        -1977.00000              22345                 25           -0.02585
         2124.00000        -1970.00000                247                 24            0.02806
         2126.00000        -1987.00000               1065                 39            0.02198
         2122.00000        -1970.00000               2503                 89            0.01161
         2116.00000        -1967.00000                 30                  1           -0.02455
         2118.00000        -1986.00000              20096                 15           -0.05043
         2124.00000        -1979.00000              21481                503            0.00643
         2132.00000        -1981.00000                 22                  5            0.07582
         2126.00000        -1976.00000               4427                179            0.02952
         2121.00000        -1971.00000               1686                 42           -0.00000
         2128.00000        -1975.00000                195                 24            0.04900
         2125.00000        -1971.00000                502                 18            0.03335
         2122.00000        -1983.00000              16612                180           -0.01520
         2121.00000        -1975.00000               4861                 94           -0.01209
         2125.00000        -1977.00000              10020                338            0.01873
         2121.00000        -1983.00000              49832                267           -0.02434
         2130.00000        -1975.00000                318                 20            0.06624
         2121.00000        -1977.00000              40638                148           -0.01696
         2126.00000        -1983.00000              17672                493            0.02129
         2130.00000        -1977.00000                731                 33            0.06283
         2127.00000        -1973.00000                311                 22            0.04487
         2125.00000        -1970.00000                 39                 12            0.03632
         2127.00000        -1983.00000               6777                272            0.03034
         2125.00000        -1975.00000               3047                 95            0.02288
         2126.00000        -1982.00000              12222                572            0.02170
         2129.00000        -1976.00000               1178                 63            0.05579
         2124.00000        -1969.00000                 67                  1            0.03127
         2125.00000        -1972.00000                353                 17            0.03049
         2117.00000        -1981.00000             357495                  7           -0.05961
         2129.00000        -1982.00000               1740                172            0.04874
         2118.00000        -1985.00000              42787                 16           -0.05114
         2120.00000        -1973.00000                534                  5           -0.01491
         2132.00000        -1987.00000                252                 20            0.07478
         2127.00000        -1980.00000              16512                669            0.03234
         2132.00000        -1979.00000                207                 33            0.07761
         2122.00000        -1981.00000              43296                286           -0.01413
         2128.00000        -1976.00000               1076                 76            0.04707
         2122.00000        -1968.00000                435                 53            0.01855
         2129.00000        -1975.00000                955                 53            0.05765
