# 1 x                          2 y                    3 number IS              4 number viruses               5 viral fitness
         2119.00000        -1986.00000               7462                 26           -0.04150
         2131.00000        -1980.00000               1974                140            0.06791
         2128.00000        -1985.00000               3996                220            0.03915
         2122.00000        -1986.00000               8361                 29           -0.01453
         2119.00000        -1976.00000              18185                 38           -0.03218
         2120.00000        -1978.00000              30078                 46           -0.02799
         2121.00000        -1974.00000               3101                 41           -0.00933
         2129.00000        -1985.00000              12025                559            0.04806
         2117.00000        -1979.00000             133442                  7           -0.05667
         2129.00000        -1980.00000              10573                563            0.05025
         2118.00000        -1984.00000              25392                 13           -0.05156
         2124.00000        -1982.00000              31969                790            0.00347
         2131.00000        -1983.00000                724                 35            0.06601
         2120.00000        -1969.00000                 82                 11           -0.00119
         2130.00000        -1981.00000                274                 29            0.05827
         2117.00000        -1973.00000               2648                 20           -0.04001
         2124.00000        -1975.00000               3962                103            0.01414
         2120.00000        -1982.00000              52278                 74           -0.03314
         2125.00000        -1976.00000               7739                293            0.02070
         2118.00000        -1970.00000                251                 16           -0.02104
         2128.00000        -1981.00000               3528                288            0.04044
         2124.00000        -1985.00000              10822                211            0.00310
         2123.00000        -1975.00000               2807                111            0.00538
         2119.00000        -1982.00000             118929                 62           -0.04227
         2126.00000        -1986.00000              13923                441            0.02149
         2129.00000        -1971.00000                  4                  3            0.06669
         2121.00000        -1985.00000              13579                 59           -0.02409
         2123.00000        -1977.00000              13377                181            0.00089
         2116.00000        -1973.00000               3868                  1           -0.04835
         2117.00000        -1969.00000               2428                  5           -0.02505
         2120.00000        -1974.00000               5538                145           -0.01794
         2130.00000        -1986.00000                617                 47            0.05705
         2124.00000        -1976.00000               5255                119            0.01187
         2121.00000        -1988.00000                264                  6           -0.02187
         2119.00000        -1975.00000               3561                 11           -0.02942
         2122.00000        -1977.00000              13704                233           -0.00804
         2117.00000        -1980.00000             231994                 16           -0.05836
         2122.00000        -1978.00000              14018                177           -0.01001
         2126.00000        -1981.00000              16677                354            0.02238
         2127.00000        -1986.00000               1866                179            0.03044
         2123.00000        -1972.00000                196                 19            0.01356
         2126.00000        -1978.00000              13847                458            0.02595
         2124.00000        -1978.00000              19799                372            0.00799
         2122.00000        -1980.00000              56036                214           -0.01309
         2123.00000        -1982.00000              40728                460           -0.00568
         2125.00000        -1979.00000              10466                420            0.01548
         2121.00000        -1979.00000              23637                147           -0.02077
         2123.00000        -1981.00000             125077               1480           -0.00499
         2126.00000        -1985.00000               2502                122            0.02119
         2129.00000        -1979.00000               3031                213            0.05133
         2128.00000        -1978.00000              12095                787            0.04377
         2117.00000        -1984.00000              37509                  5           -0.06052
         2128.00000        -1987.00000                408                 29            0.03976
         2120.00000        -1975.00000              10182                116           -0.02078
         2118.00000        -1979.00000              51450                 27           -0.04781
         2128.00000        -1979.00000              35420               1309            0.04243
         2121.00000        -1970.00000               3743                161            0.00339
         2120.00000        -1987.00000               2938                 40           -0.03177
         2121.00000        -1981.00000              48378                231           -0.02328
         2130.00000        -1983.00000               3915                192            0.05719
         2129.00000        -1981.00000               2631                185            0.04939
         2128.00000        -1983.00000              10592                419            0.03935
         2120.00000        -1970.00000               1103                 43           -0.00478
         2120.00000        -1986.00000               5308                  7           -0.03254
         2120.00000        -1983.00000              31767                135           -0.03347
         2118.00000        -1980.00000              76232                 16           -0.04943
         2116.00000        -1980.00000              79722                 10           -0.06719
         2119.00000        -1969.00000                 86                  1           -0.00922
         2123.00000        -1986.00000               2607                 16           -0.00553
         2122.00000        -1972.00000               1449                 79            0.00513
         2120.00000        -1988.00000               3535                 32           -0.03073
         2126.00000        -1984.00000              76889               2120            0.02112
         2123.00000        -1978.00000              28524                363           -0.00101
         2118.00000        -1976.00000              11786                 10           -0.04087
         2130.00000        -1987.00000                121                 12            0.05736
         2118.00000        -1987.00000               3627                  2           -0.04960
         2126.00000        -1980.00000              48771               1333            0.02331
         2123.00000        -1973.00000               1918                 82            0.01068
         2125.00000        -1990.00000                  1                  5            0.01577
         2128.00000        -1986.00000               4672                205            0.03936
         2123.00000        -1988.00000                801                 39           -0.00404
         2123.00000        -1979.00000              92591               1158           -0.00264
         2119.00000        -1989.00000               1786                  3           -0.03827
         2123.00000        -1985.00000              15179                170           -0.00596
         2133.00000        -1982.00000                 14                  7            0.08388
         2122.00000        -1969.00000                307                  6            0.01499
         2119.00000        -1978.00000              29281                 11           -0.03693
         2129.00000        -1983.00000               9197                532            0.04830
         2129.00000        -1978.00000               3420                193            0.05261
         2120.00000        -1981.00000              86869                247           -0.03242
         2126.00000        -1975.00000                846                 43            0.03161
         2131.00000        -1986.00000               6104                405            0.06582
         2121.00000        -1984.00000              45576                117           -0.02435
         2121.00000        -1982.00000              37149                106           -0.02398
         2124.00000        -1973.00000                112                  3            0.01922
         2124.00000        -1984.00000               6441                123            0.00296
         2121.00000        -1976.00000               7085                 39           -0.01463
         2127.00000        -1976.00000               1044                 88            0.03831
         2118.00000        -1981.00000              78974                 41           -0.05061
         2133.00000        -1978.00000                393                  5            0.08736
         2125.00000        -1986.00000               1330                 80            0.01249
         2124.00000        -1977.00000              51445                970            0.00981
         2131.00000        -1984.00000               2787                230            0.06576
         2132.00000        -1988.00000                 15                  2            0.07518
         2131.00000        -1982.00000                171                 27            0.06645
         2122.00000        -1982.00000              88519                458           -0.01482
         2119.00000        -1988.00000               2634                  9           -0.03960
         2125.00000        -1980.00000              15142                577            0.01424
         2130.00000        -1978.00000               2791                247            0.06140
         2117.00000        -1982.00000             117270                 24           -0.06035
         2128.00000        -1984.00000              27289               1213            0.03914
         2125.00000        -1985.00000               9819                283            0.01216
         2131.00000        -1979.00000                296                 21            0.06892
         2125.00000        -1988.00000                400                  4            0.01376
         2128.00000        -1982.00000               3217                231            0.03978
         2119.00000        -1983.00000              43064                  6           -0.04258
         2130.00000        -1979.00000               1609                 68            0.06016
         2120.00000        -1979.00000              58228                109           -0.02983
         2119.00000        -1979.00000              52696                 56           -0.03884
         2122.00000        -1971.00000                297                 12            0.00827
         2124.00000        -1974.00000                636                 14            0.01659
         2125.00000        -1981.00000              31082                883            0.01328
         2123.00000        -1976.00000              12625                270            0.00303
         2129.00000        -1986.00000               1498                 39            0.04823
         2128.00000        -1980.00000              10923                524            0.04132
         2127.00000        -1977.00000              20583                661            0.03649
         2124.00000        -1981.00000              49594                823            0.00415
         2127.00000        -1981.00000              21449                937            0.03143
         2119.00000        -1972.00000                883                 14           -0.02005
         2127.00000        -1979.00000              37552               1486            0.03349
         2129.00000        -1977.00000               1698                 93            0.05410
         2117.00000        -1986.00000              12070                 18           -0.05928
         2122.00000        -1975.00000               7946                116           -0.00336
         2119.00000        -1981.00000             185409                 59           -0.04155
         2118.00000        -1977.00000              18639                 10           -0.04348
         2117.00000        -1977.00000              26115                  1           -0.05221
         2125.00000        -1978.00000              28081                562            0.01698
         2125.00000        -1987.00000                450                 39            0.01304
         2121.00000        -1972.00000               9852                119           -0.00326
         2116.00000        -1974.00000               3796                  8           -0.05178
         2120.00000        -1985.00000              15018                  3           -0.03314
         2118.00000        -1983.00000              66937                 29           -0.05165
         2131.00000        -1985.00000                742                 37            0.06570
         2123.00000        -1984.00000              15764                325           -0.00615
         2123.00000        -1983.00000              32615                335           -0.00604
         2120.00000        -1980.00000              48818                 88           -0.03132
         2125.00000        -1982.00000              20482                613            0.01260
         2124.00000        -1983.00000             127702               1755            0.00309
         2127.00000        -1985.00000               3340                144            0.03019
         2125.00000        -1983.00000              35899                700            0.01219
         2118.00000        -1974.00000               8514                 29           -0.03495
         2120.00000        -1984.00000              20318                 62           -0.03347
         2128.00000        -1977.00000               2112                136            0.04532
         2130.00000        -1973.00000                175                  4            0.07032
         2122.00000        -1989.00000                288                 10           -0.01185
         2122.00000        -1985.00000               6331                 88           -0.01501
         2118.00000        -1982.00000             103449                 39           -0.05135
         2123.00000        -1980.00000              20888                275           -0.00397
         2122.00000        -1976.00000               5764                 90           -0.00581
         2125.00000        -1973.00000                120                 16            0.02778
         2129.00000        -1990.00000                  5                  6            0.05068
         2115.00000        -1969.00000                420                 22           -0.04072
         2126.00000        -1979.00000              24069                951            0.02450
         2131.00000        -1977.00000                 12                  3            0.07151
         2127.00000        -1975.00000               1603                 67            0.04033
         2130.00000        -1976.00000                 68                 16            0.06445
         2117.00000        -1978.00000              42432                 10           -0.05460
         2132.00000        -1985.00000                 59                 17            0.07441
         2115.00000        -1982.00000             101281                  2           -0.07796
         2131.00000        -1978.00000                214                 11            0.07012
         2124.00000        -1986.00000               2355                 33            0.00348
         2126.00000        -1977.00000               3764                169            0.02763
         2132.00000        -1982.00000                185                 18            0.07520
         2118.00000        -1975.00000               3461                  3           -0.03802
         2119.00000        -1984.00000              73656                 20           -0.04254
         2122.00000        -1979.00000              47338                500           -0.01171
         2124.00000        -1988.00000                 85                  2            0.00486
         2130.00000        -1980.00000                847                 81            0.05911
         2127.00000        -1978.00000              25670               1237            0.03488
         2119.00000        -1974.00000               2687                  9           -0.02647
         2120.00000        -1972.00000              11368                 50           -0.01162
         2126.00000        -1973.00000                300                 33            0.03634
         2123.00000        -1987.00000               4394                 41           -0.00489
         2119.00000        -1985.00000              13896                 38           -0.04217
         2121.00000        -1987.00000               3026                 70           -0.02284
         2125.00000        -1984.00000              10749                251            0.01205
         2131.00000        -1987.00000                114                  3            0.06608
         2127.00000        -1982.00000               7636                319            0.03077
         2122.00000        -1973.00000                299                 16            0.00212
         2130.00000        -1982.00000               1458                104            0.05763
         2121.00000        -1980.00000              75560                177           -0.02220
         2121.00000        -1986.00000               3590                  7           -0.02353
         2125.00000        -1974.00000                203                 17            0.02524
         2127.00000        -1988.00000                292                 30            0.03153
         2129.00000        -1984.00000               8584                444            0.04808
         2131.00000        -1981.00000                310                 48            0.06708
         2123.00000        -1971.00000               7331                250            0.01664
         2124.00000        -1987.00000               1714                 61            0.00408
         2129.00000        -1988.00000                181                  6            0.04913
         2130.00000        -1984.00000                806                 70            0.05695
         2122.00000        -1974.00000               1327                 52           -0.00070
         2130.00000        -1985.00000               4379                251            0.05690
         2117.00000        -1971.00000               8670                  1           -0.03289
         2130.00000        -1988.00000                300                 46            0.05787
         2127.00000        -1984.00000               6114                290            0.03015
         2119.00000        -1980.00000             138964                 34           -0.04039
         2120.00000        -1976.00000              13025                 24           -0.02343
         2117.00000        -1983.00000             165245                  8           -0.06064
         2118.00000        -1978.00000             138811                 33           -0.04580
         2120.00000        -1990.00000                109                  2           -0.02812
         2132.00000        -1980.00000                 40                  5            0.07663
         2133.00000        -1987.00000                 37                  6            0.08337
         2120.00000        -1971.00000                248                  3           -0.00834
         2115.00000        -1979.00000              82008                  5           -0.07406
         2119.00000        -1970.00000                182                  7           -0.01296
         2118.00000        -1972.00000               1747                  9           -0.02834
         2130.00000        -1974.00000                 29                  5            0.06820
         2122.00000        -1988.00000                370                 13           -0.01298
         2116.00000        -1983.00000             128441                  1           -0.06954
         2127.00000        -1987.00000                263                  6            0.03087
         2132.00000        -1977.00000                 47                 22            0.08011
         2133.00000        -1985.00000                  4                  3            0.08307
         2115.00000        -1986.00000              28429                  1           -0.07681
         2126.00000        -1988.00000                116                 13            0.02264
         2132.00000        -1984.00000                 16                  4            0.07450
         2125.00000        -1968.00000                 27                 10            0.04268
         2116.00000        -1978.00000              57266                  1           -0.06330
         2124.00000        -1972.00000                 88                  2            0.02202
         2131.00000        -1974.00000                  8                  1            0.07668
         2124.00000        -1971.00000                 27                 11            0.02497
         2116.00000        -1972.00000               1441                  3           -0.04473
         2126.00000        -1972.00000                 15                 12            0.03894
         2133.00000        -1986.00000                 15                  4            0.08314
         2132.00000        -1983.00000                 24                  2            0.07476
         2123.00000        -1974.00000                362                  7            0.00793
         2127.00000        -1971.00000                 11                  8            0.05004
         2132.00000        -1978.00000                 10                  7            0.07878
         2134.00000        -1978.00000                  3                  2            0.09588
         2122.00000        -1990.00000                  4                  2           -0.01059
         2121.00000        -1967.00000                  5                  2            0.01428
         2121.00000        -1973.00000                138                  4           -0.00641
         2117.00000        -1970.00000                115                  2           -0.02908
         2114.00000        -1967.00000                  2                  1           -0.03965
         2134.00000        -1980.00000                  1                  1            0.09386
         2120.00000        -1967.00000                  9                  1            0.00641
         2115.00000        -1973.00000               7195                  1           -0.05652
         2133.00000        -1981.00000                  0                  1            0.08449
         2127.00000        -1972.00000                  3                  1            0.04738
